movieCd,movieNm,link,image,userRating
20181181,미션 임파서블: 폴아웃,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154222,https://ssl.pstatic.net/imgmovie/mdi/mit110/1542/154222_P07_114856.jpg,9.12
20183361,인크레더블 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136990,https://ssl.pstatic.net/imgmovie/mdi/mit110/1369/136990_P27_140604.jpg,9.23
20170942,인랑,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109906,https://ssl.pstatic.net/imgmovie/mdi/mit110/1099/109906_P00_103901.jpg,3.85
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174805,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174805_P12_100714.jpg,8.72
20180522,앤트맨과 와스프,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144330,https://ssl.pstatic.net/imgmovie/mdi/mit110/1443/144330_P05_110325.jpg,8.62
20185341,마녀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175322,https://ssl.pstatic.net/imgmovie/mdi/mit110/1753/175322_P98_135944.jpg,8.18
20181443,스카이스크래퍼,https://movie.naver.com/movie/bi/mi/basic.nhn?code=160375,https://ssl.pstatic.net/imgmovie/mdi/mit110/1603/160375_P06_173757.jpg,7.63
20186121,어느 가족,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172174,https://ssl.pstatic.net/imgmovie/mdi/mit110/1721/172174_P20_110537.jpg,9.21
20188042,독전: 익스텐디드 컷,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158178,https://ssl.pstatic.net/imgmovie/mdi/mit110/1581/158178_P57_114234.jpg,7.53
20186001,신은 죽지 않았다 3: 어둠 속의 빛,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172344,https://ssl.pstatic.net/imgmovie/mdi/mit110/1723/172344_P10_103439.jpg,8.38
20186202,신과함께-인과 연,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167697,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167697_P01_113354.jpg,7.71
20186501,극장판 헬로카봇 : 백악기 시대,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175727,https://ssl.pstatic.net/imgmovie/mdi/mit110/1757/175727_P08_154401.jpg,9.23
20181942,맘마미아!2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164115,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164115_P50_104521.jpg,8.96
20179101,공작,https://movie.naver.com/movie/bi/mi/basic.nhn?code=153687,https://ssl.pstatic.net/imgmovie/mdi/mit110/1536/153687_P54_102718.jpg,6.85
20184802,몬스터 호텔 3,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169643,https://ssl.pstatic.net/imgmovie/mdi/mit110/1696/169643_P26_103310.jpg,8.59
20187427,명탐정 코난 : 제로의 집행인,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173019,https://ssl.pstatic.net/imgmovie/mdi/mit110/1730/173019_P30_150613.jpg,9.07
20170670,목격자,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169015,https://ssl.pstatic.net/imgmovie/mdi/mit110/1690/169015_P29_104430.jpg,4.86
20183584,메가로돈,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152661,https://ssl.pstatic.net/imgmovie/mdi/mit110/1526/152661_P02_173353.jpg,5.87
20187641,극장판 도라에몽: 진구의 보물섬,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172118,https://ssl.pstatic.net/imgmovie/mdi/mit110/1721/172118_P13_110330.jpg,8.76
20153446,너의 결혼식,https://movie.naver.com/movie/bi/mi/basic.nhn?code=140652,https://ssl.pstatic.net/imgmovie/mdi/mit110/1406/140652_P38_143110.jpg,8.42
